CountyState,Average,RegionID
"Bell, TX",179100,34248
"Howard, IN",144200,46061
"Marin, CA",1234000,54301
"Santa Clara, CA",2909800,26374
"Santa Clara, CA",1077700,39798
"Craighead, AR",206400,18765
"Hudson, NJ",440500,54791
"Alameda, CA",935400,41333
"Jefferson, LA",168100,5395
"Cook, IL",407000,26362
"Harris, TX",309500,34308
"Tippecanoe, IN",157000,52839
"Charlotte, FL",237800,13366
"Fairfax, VA",1001400,21080
"Broward, FL",562400,7886
"San Bernardino, CA",811400,10815
"Whatcom, WA",479300,50950
"Wicomico, MD",214200,20322
"Frederick, VA",336600,34868
"Alameda, CA",1109100,16697
"Dakota, MN",400700,17845
"Volusia, FL",180200,17718
"Los Angeles, CA",582700,26483
"Racine, WI",173300,54043
"Harford, MD",440600,30394
"Livingston, LA",161100,11087
"York, PA",293400,397184
"Bossier, LA",158400,10497
"King, WA",451000,16839
"Gaston, NC",194100,52179
"Benton, OR",472100,4216
"Oakland, MI",481300,34725
"Glynn, GA",117900,51173
"Westchester, NY",403800,32991
"Sarasota, FL",338100,21057
"Montgomery, MD",1104500,37406
"Will, IL",339000,10484
"Rankin, MS",166100,10530
"Brevard, FL",202600,10889
"Outagamie, WI",218400,30236
"Lorain, OH",125000,32572
"Midland, MI",212700,399216
"Hennepin, MN",394300,46400
"Harris, TX",190200,3568
"Hartford, CT",431000,14552
"Henrico, VA",436000,31751
"Iredell, NC",182100,41054
"Wayne, MI",87100,7378
"Josephine, OR",337600,31829
"Bartholomew, IN",226700,44704
"Maricopa, AZ",378300,18329
"Sarasota, FL",251000,13031
"Cook, IL",451200,33256
"Hudson, NJ",487100,40038
"Los Angeles, CA",683500,54212
"Cook, IL",393200,17761
"Gwinnett, GA",287000,20535
"Lorain, OH",170900,17974
"La Crosse, WI",203900,46084
"Orange, CA",793600,25459
"Los Angeles, CA",1065700,50749
"Orange, CA",1067100,21412
"Florence, SC",219800,45291
"Washington, MN",456200,14703
"Cumberland, NJ",228000,34597
"Dakota, MN",372400,10634
"Williamson, TX",257000,45417
"Orange, CA",687800,18874
"Hamilton, IN",296600,17309
"Hennepin, MN",502800,4515
"Johnson, KS",221000,7039
"Cole, MO",125600,52683
"Nassau, NY",589100,27652
"New Haven, CT",300400,5043
"Sumner, TN",364400,32006
"Hartford, CT",280500,17172
"Milwaukee, WI",181700,34721
"Charlotte, FL",335500,47252
"Broward, FL",226500,7367
"Medina, OH",343500,53253
"New Haven, CT",242200,19321
"Washington, AR",276800,31543
"Fairfax, VA",598700,6736
"Salt Lake, UT",324400,27378
"Baltimore, MD",210400,11170
"Lancaster, PA",184100,398816
"Middlesex, MA",684600,34644
"San Luis Obispo, CA",823500,6923
"Essex, MA",390000,45689
"Sarpy, NE",254600,16971
"Washington, AR",224000,7217
"Pierce, WA",369300,25489
"Los Angeles, CA",906300,33837
"Palm Beach, FL",456600,25345
"Fairfield, CT",1920200,45565
"Miami-Dade, FL",294300,124912
"San Diego, CA",1122700,45164
"Oakland, MI",123000,6562
"Lee, NC",211100,33866
"Miami-Dade, FL",237300,124464
"Middlesex, MA",499500,28939
"Los Angeles, CA",632600,45398
"Oakland, MI",326900,6855
"Marin, CA",1000900,53643
"Hartford, CT",265100,398963
"Los Angeles, CA",437600,396053
"Cook, IL",309100,6267
"Orange, CA",2046500,53571
"Honolulu, HI",813900,18029
"Osceola, FL",235500,18847
"Montgomery, MD",516000,45383
"San Diego, CA",501600,53487
"Anne Arundel, MD",439300,33341
"Cook, IL",444700,20514
"Carson City, NV",255400,30772
"Santa Clara, CA",895900,11604
"York, SC",401600,31612
"Wayne, MI",104400,44878
"Orange, CA",1096500,13693
"Contra Costa, CA",733800,17155
"Volusia, FL",236200,11076
"Tarrant, TX",246700,39604
"Bowie, TX",94600,20782
"Fayette, GA",361300,45251
"Cook, IL",304300,50985
"Rapides, LA",189400,10068
"Placer, CA",588400,6809
"Saint Charles, MO",276700,47526
"Jefferson, LA",147900,38809
"Tarrant, TX",200700,26197
"Yolo, CA",459800,48569
"Fairfax, VA",708100,21472
"Miami-Dade, FL",441900,126356
"Hanover, VA",367500,12665
"Pasco, FL",334600,32416
"Hudson, NJ",459100,21685
"San Mateo, CA",1062700,13929
"Riverside, CA",442900,52852
"Osceola, FL",296700,13653
"Santa Barbara, CA",440900,19078
"Fairfield, OH",211400,25495
"Stark, OH",197500,25784
"Los Angeles, CA",757200,6021
"Yolo, CA",773400,51659
"Clark, OH",115800,34103
"Schenectady, NY",201200,40779
"Westchester, NY",788100,34819
"Sacramento, CA",437300,26679
"Hampden, MA",254400,30872
"Middlesex, MA",638700,53250
"Riverside, CA",707600,737790
"Nassau, NY",440300,398567
"Bucks, PA",349400,30424
"Monmouth, NJ",473700,395552
"Los Angeles, CA",541600,37015
"Gwinnett, GA",314800,12386
"Rock, WI",224600,398123
"Muskegon, MI",113100,399297
